NEWID,DIRACC,DIRACC_,AGE_REF,AGE_REF_,AGE2,AGE2_,AS_COMP1,AS_C_MP1,AS_COMP2,AS_C_MP2,AS_COMP3,AS_C_MP3,AS_COMP4,AS_C_MP4,AS_COMP5,AS_C_MP5,BATHRMQ,BATHRMQ_,BEDROOMQ,BEDR_OMQ,BLS_URBN,BUILDING,BUIL_ING,CUTENURE,CUTE_URE,EARNCOMP,EARN_OMP,EDUC_REF,EDUC0REF,EDUCA2,EDUCA2_,FAM_SIZE,FAM__IZE,FAM_TYPE,FAM__YPE,FGOVRETX,FGOV_ETX,FINCBTAX,FINCBT_X,FINDRETX,FIND_ETX,FINLWT21,FJSSDEDX,FJSS_EDX,FPRIPENX,FPRI_ENX,FRRDEDX,FRRDEDX_,FRRETIRX,FRRE_IRX,FSALARYX,FSAL_RYX,FSSIX,FSSIX_,HLFBATHQ,HLFB_THQ,INC_HRS1,INC__RS1,INC_HRS2,INC__RS2,INC_RANK,INC__ANK,INCNONW1,INCN_NW1,INCNONW2,INCN_NW2,INCOMEY1,INCO_EY1,INCOMEY2,INCO_EY2,INCWEEK1,INCW_EK1,INCWEEK2,INCW_EK2,MISCTAXX,MISC_AXX,LUMPSUMX,LUMP_UMX,MARITAL1,MARI_AL1,NO_EARNR,NO_E_RNR,NONINCMX,NONI_CMX,NUM_AUTO,NUM__UTO,OCCUCOD1,OCCU_OD1,OCCUCOD2,OCCU_OD2,OTHRINCX,OTHR_NCX,PERSLT18,PERS_T18,PERSOT64,PERS_T64,POPSIZE,PRINEARN,PRIN_ARN,QINTRVMO,QINTRVYR,RACE2,RACE2_,REF_RACE,REF__ACE,REGION,RENTEQVX,RENT_QVX,ROOMSQ,ROOMSQ_,SEX_REF,SEX_REF_,SEX2,SEX2_,SMSASTAT,ST_HOUS,ST_HOUS_,VEHQ,VEHQ_,WELFAREX,WELF_REX,WTREP01,WTREP02,WTREP03,WTREP04,WTREP05,WTREP06,WTREP07,WTREP08,WTREP09,WTREP10,WTREP11,WTREP12,WTREP13,WTREP14,WTREP15,WTREP16,WTREP17,WTREP18,WTREP19,WTREP20,WTREP21,WTREP22,WTREP23,WTREP24,WTREP25,WTREP26,WTREP27,WTREP28
05011504,1,D,26,D,NA,A,0,D,1,D,0,D,0,D,0,D,2,D,2,D,1,08,D,4,D,1,D,12,D,NA,A,1,D,8,D,0,D,10000,D,0,D,12058.203,765,D,0,D,0,D,0,D,10000,D,0,D,0,D,40,D,NA,A,0.1407143,D,NA,A,NA,A,5,D,NA,A,26,D,NA,A,NA,A,NA,A,5,D,1,D,0,D,1,D,10,D,NA,A,NA,A,0,D,0,D,1,01,D,01,2023,NA,A,1,D,2,NA,A,4,D,2,D,NA,A,1,2,D,2,D,NA,A,23949.428,24132.672,24728.086,NA,22544.878,NA,24843.579,24541.117,NA,NA,23525.562,NA,NA,23185.821,NA,22581.169,NA,NA,23492.928,23602.92,25486.949,NA,26043.91,24606.903,24277.557,23899.622,23481.89,NA
05011514,1,D,80,D,72,D,1,D,1,D,0,D,0,D,0,D,2,D,4,D,1,01,D,1,D,8,D,14,D,14,D,2,D,1,D,0,D,55558,D,0,D,34570.976,0,D,0,D,0,D,55558,D,0,D,0,D,1,D,NA,A,NA,A,0.4842001,D,1,D,1,D,NA,A,NA,A,0,D,0,D,NA,A,NA,A,1,D,0,D,0,D,1,D,NA,A,NA,A,NA,A,0,D,2,D,4,01,D,01,2023,1,D,1,D,3,7073,T,7,D,1,D,2,D,1,2,D,4,D,NA,A,NA,95549.327,85876.415,54975.597,NA,63523.421,NA,NA,NA,78279.349,78886.078,81527.375,79713.281,59506.842,NA,92242.93,84585.519,58191.415,NA,NA,58209.246,NA,59313.586,NA,NA,80965.546,58029.176,NA
05011524,1,D,29,D,NA,A,0,D,1,D,0,D,0,D,0,D,1,D,2,D,1,04,D,4,D,1,D,16,D,NA,A,1,D,8,D,0,D,40284,D,6000,D,2935.615,4437,D,0,D,0,D,0,D,2000,D,0,D,0,D,28,D,NA,A,0.3815562,D,NA,A,NA,A,1,D,NA,A,52,D,NA,A,NA,A,NA,A,5,D,1,D,0,D,1,D,03,D,NA,A,10284,D,0,D,0,D,4,01,D,01,2023,NA,A,1,D,4,NA,A,4,D,2,D,NA,A,1,2,D,1,D,NA,A,5750.2,5944.758,NA,5329.689,NA,NA,6052.707,5768.717,6024.868,NA,5770.299,5644.938,5800.541,5719.885,5947.787,NA,NA,NA,5598.744,NA,6118.186,5755.485,6584.264,NA,NA,NA,NA,NA
05011564,1,D,55,D,61,D,1,D,1,D,0,D,0,D,0,D,1,D,4,D,1,01,D,1,D,2,D,16,D,16,D,2,D,1,D,0,D,195500,D,0,D,29030.548,14956,D,0,D,0,D,0,D,195500,D,0,D,1,D,40,D,40,D,0.9061336,D,NA,A,NA,A,4,D,4,D,52,D,52,D,NA,A,NA,A,1,D,2,D,0,D,1,D,02,D,02,D,NA,A,0,D,0,D,4,02,D,01,2023,1,D,1,D,1,2500,D,7,D,1,D,2,D,1,2,D,2,D,NA,A,64178.258,56755.851,NA,63191.164,NA,57614.843,58693.979,NA,NA,61116.161,NA,NA,57164.808,NA,57320.361,NA,NA,60104.731,54219.208,58735.258,NA,57690.06,59251.729,55073.419,58282.174,52619.283,NA,NA
05011624,1,D,60,D,NA,A,0,D,1,D,0,D,0,D,0,D,2,D,3,D,1,01,D,1,D,8,D,16,D,NA,A,1,D,8,D,0,D,36320,D,0,D,26458.82,0,D,0,D,0,D,0,D,0,D,0,D,0,D,NA,A,NA,A,0.3515581,D,1,D,NA,A,NA,A,NA,A,0,D,NA,A,NA,A,NA,A,3,D,0,D,0,D,0,D,NA,A,NA,A,NA,A,0,D,0,D,4,01,D,01,2023,NA,A,1,D,3,2000,D,4,D,2,D,NA,A,1,2,D,1,D,NA,A,NA,NA,49067.08,NA,NA,NA,NA,NA,55161.481,56550.075,49868.278,NA,48550.72,NA,NA,NA,56802.484,55737.832,53346.289,54420.071,48056.035,NA,57323.711,56667.043,48195.8,NA,NA,46749.659
05011634,1,D,47,D,39,D,1,D,1,D,0,D,0,D,0,D,2,D,3,D,1,01,D,1,D,1,D,16,D,16,D,2,D,1,D,0,D,100000,D,0,D,26257.515,7650,D,0,D,0,D,0,D,100000,D,0,D,0,D,45,D,NA,A,0.6966971,D,NA,A,3,D,1,D,NA,A,52,D,0,D,NA,A,NA,A,1,D,1,D,0,D,0,D,02,D,NA,A,NA,A,0,D,0,D,3,01,D,01,2023,1,D,1,D,1,2962,D,6,D,1,D,2,D,1,2,D,1,D,NA,A,48368.21,NA,NA,53660.938,NA,NA,53128.882,NA,63681.845,NA,NA,47620.065,45906.523,54633.295,NA,54319.069,61056.303,58913.363,49634.005,53261.306,NA,NA,NA,60098.658,NA,46285.749,53104.897,52549.689
05011664,1,D,35,D,37,D,1,D,1,D,0,D,0,D,0,D,2,D,2,D,1,01,D,1,D,5,D,16,D,16,D,2,D,1,D,0,D,124000,D,20500,D,32139.792,9486,D,0,D,0,D,0,D,124000,D,0,D,1,D,NA,A,45,D,0.776081,D,4,D,NA,A,NA,A,1,D,0,D,52,D,NA,A,NA,A,1,D,1,D,0,D,1,D,NA,A,03,D,NA,A,0,D,0,D,3,01,D,01,2023,4,D,4,D,3,1500,D,3,D,2,D,1,D,1,2,D,2,D,NA,A,63920.756,NA,62417.471,NA,62492.515,59026.191,64194.144,NA,NA,NA,NA,NA,65696.282,NA,NA,NA,83561.317,67039.883,NA,59740.53,NA,75183.967,55403.335,NA,NA,60655.343,NA,NA
05011724,1,D,41,D,NA,A,1,D,0,D,0,D,0,D,0,D,1,D,3,D,1,08,D,4,D,1,D,12,D,NA,A,1,D,8,D,0,D,65000,D,0,D,29511.223,4973,D,0,D,0,D,0,D,65000,D,0,D,0,D,65,D,NA,A,0.5350593,D,NA,A,NA,A,1,D,NA,A,52,D,NA,A,NA,A,700,D,4,D,1,D,700,D,0,D,10,D,NA,A,NA,A,0,D,0,D,2,01,D,01,2023,NA,A,1,D,1,NA,A,5,D,1,D,NA,A,1,2,D,1,D,NA,A,NA,58405.233,57873.283,NA,62538.378,57407.104,NA,56821.553,NA,60012.373,55724.152,NA,NA,NA,58565.147,NA,NA,NA,NA,NA,57706.109,57594.177,57687.005,NA,57012.507,NA,NA,NA
05011734,1,D,36,D,NA,A,1,D,1,D,0,D,0,D,0,D,2,D,2,D,1,03,D,4,D,4,D,15,D,NA,A,2,D,9,D,0,D,150200,D,12000,D,32060.114,11583,D,0,D,0,D,0,D,149000,D,0,D,0,D,48,D,NA,A,0.8437556,D,NA,A,NA,A,1,D,NA,A,52,D,NA,A,NA,A,NA,A,5,D,2,D,0,D,0,D,03,D,NA,A,NA,A,0,D,0,D,1,01,D,01,2023,NA,A,1,D,2,NA,A,4,D,1,D,NA,A,1,2,D,2,D,NA,A,NA,NA,NA,57990.438,NA,64969.698,NA,NA,71490.908,60675.152,NA,72302.434,65028.399,NA,64285.769,NA,74845.023,68917.3,NA,NA,NA,61369.548,NA,NA,NA,NA,NA,61790.585
05011864,1,D,51,D,52,D,2,D,2,D,0,D,0,D,0,D,2,D,4,D,1,01,D,2,D,3,D,14,D,12,D,4,D,4,D,0,D,176000,D,8000,D,54346.754,13465,D,0,D,0,D,0,D,176000,D,0,D,0,D,40,D,38,D,0.8817787,D,NA,A,NA,A,1,D,1,D,52,D,52,D,NA,A,NA,A,1,D,4,D,0,D,1,D,07,D,05,D,NA,A,1,D,0,D,2,02,D,01,2023,2,D,2,D,1,1200,D,8,D,2,D,1,D,1,2,D,1,D,NA,A,NA,116802.275,NA,111443.796,NA,NA,81582.69,132943.275,NA,106475.082,80265.064,NA,98231.031,NA,112552.275,93752.939,NA,NA,NA,112428.083,NA,NA,NA,NA,NA,97789.712,104351.14,99458.369
05011884,1,D,44,D,46,D,1,D,1,D,1,D,2,D,0,D,2,D,4,D,1,01,D,4,D,5,D,15,D,16,D,5,D,3,D,0,D,39560,D,0,D,37186.502,2678,D,0,D,0,D,0,D,35000,D,0,D,0,D,NA,A,50,D,0.3721455,D,2,D,NA,A,NA,A,1,D,0,D,52,D,NA,A,NA,A,1,D,1,D,0,D,1,D,NA,A,03,D,NA,A,3,D,0,D,4,02,D,01,2023,4,D,4,D,3,NA,A,6,D,2,D,1,D,1,2,D,2,D,NA,A,46918.734,52956.724,NA,NA,NA,70128.467,NA,57954.389,62890.024,53144.635,NA,NA,NA,NA,NA,67273.707,NA,NA,NA,68446.842,61995.601,NA,63067.826,NA,70953.258,60722.377,NA,NA
05011964,1,D,59,D,NA,A,1,D,3,D,0,D,2,D,0,D,3,D,4,D,1,01,D,1,D,1,D,15,D,NA,A,6,D,9,D,0,D,88000,D,0,D,26563.259,6732,D,0,D,0,D,0,D,88000,D,0,D,0,D,45,D,NA,A,0.6536644,D,NA,A,NA,A,1,D,NA,A,52,D,NA,A,NA,A,NA,A,3,D,1,D,0,D,0,D,08,D,NA,A,NA,A,3,D,0,D,2,01,D,01,2023,NA,A,1,D,3,1000,D,7,D,1,D,NA,A,1,2,D,2,D,NA,A,NA,NA,NA,NA,NA,NA,38260.261,59140.84,69597.277,NA,86204.98,NA,NA,NA,33185.321,29742.684,66363.097,78170.19,75783.459,NA,67390.481,42485.221,72749.837,NA,NA,29365.274,NA,94497.403
05011974,1,D,42,D,NA,A,0,D,2,D,0,D,0,D,0,D,1,D,2,D,1,01,D,1,D,4,D,15,D,NA,A,2,D,9,D,0,D,234000,D,35426,T,21830.353,17901,D,27796,T,0,D,0,D,234000,D,0,D,0,D,40,D,NA,A,0.9386752,D,NA,A,NA,A,1,D,NA,A,52,D,NA,A,NA,A,NA,A,3,D,2,D,0,D,0,D,03,D,NA,A,NA,A,0,D,0,D,2,02,D,01,2023,NA,A,1,D,4,2000,D,5,D,2,D,NA,A,1,2,D,2,D,NA,A,NA,NA,NA,43999.66,NA,NA,NA,NA,NA,42163.972,55437.319,47900.5,NA,39679.896,NA,NA,NA,42686.616,53570.961,46454.533,48034.959,47934.541,NA,40075.676,51534.606,44507.426,NA,NA
05012054,1,D,35,D,NA,A,1,D,1,D,0,D,0,D,0,D,1,D,2,D,1,01,D,2,D,4,D,13,D,NA,A,2,D,9,D,0,D,69000,D,0,D,30233.738,5279,D,0,D,0,D,0,D,69000,D,0,D,0,D,40,D,NA,A,0.5539935,D,NA,A,NA,A,1,D,NA,A,52,D,NA,A,NA,A,NA,A,5,D,2,D,0,D,2,D,03,D,NA,A,NA,A,0,D,0,D,5,01,D,01,2023,NA,A,1,D,3,700,D,4,D,1,D,NA,A,2,2,D,2,D,NA,A,61281.842,NA,NA,NA,60559.091,NA,60016.403,59220.74,71616.225,NA,NA,NA,NA,NA,60229.994,NA,NA,NA,61097.239,56309.715,NA,68531.111,NA,60250.934,59177.955,NA,NA,59576.5
05012074,1,D,55,D,NA,A,0,D,1,D,0,D,0,D,0,D,2,D,4,D,1,01,D,4,D,8,D,15,D,NA,A,1,D,8,D,0,D,8170,D,0,D,14252.061,0,D,0,D,0,D,4656,D,0,D,514,D,0,D,NA,A,NA,A,0.130936,D,4,D,NA,A,NA,A,NA,A,0,D,NA,A,NA,A,NA,A,5,D,0,D,0,D,1,D,NA,A,NA,A,NA,A,0,D,0,D,2,01,D,01,2023,NA,A,1,D,4,NA,A,10,D,2,D,NA,A,1,2,D,1,D,NA,A,NA,NA,NA,28183.711,NA,NA,NA,NA,NA,28723.586,30971.556,31441.946,NA,25933.264,NA,NA,NA,31744.288,30578.528,29669.219,30258.654,28342.138,NA,26522.25,33612.258,29536.039,NA,NA
05012084,1,D,36,D,34,D,1,D,1,D,0,D,0,D,0,D,2,D,3,D,1,01,D,1,D,2,D,14,D,15,D,2,D,1,D,0,D,95000,D,12000,D,38880.528,7268,D,0,D,0,D,0,D,95000,D,0,D,0,D,40,D,30,D,0.680667,D,NA,A,NA,A,4,D,4,D,52,D,26,D,NA,A,NA,A,1,D,2,D,0,D,2,D,03,D,02,D,NA,A,0,D,0,D,2,01,D,01,2023,1,D,1,D,4,1600,D,8,D,1,D,2,D,1,2,D,2,D,NA,A,NA,NA,NA,NA,81843.418,NA,NA,NA,NA,NA,99645.125,81011.225,76008.198,NA,79326.515,NA,NA,NA,96227.771,83342.95,89648.141,87605.735,79466.388,NA,88273.746,82976.606,84972.19,NA
05012094,1,D,44,D,NA,A,2,D,0,D,0,D,0,D,0,D,2,D,4,D,1,01,D,1,D,1,D,16,D,NA,A,2,D,9,D,0,D,166379,D,20000,D,15007.796,8262,D,0,D,0,D,42779,D,108000,D,0,D,1,D,40,D,NA,A,0.8689698,D,NA,A,NA,A,1,D,NA,A,52,D,NA,A,NA,A,NA,A,5,D,1,D,0,D,2,D,03,D,NA,A,NA,A,0,D,1,D,2,01,D,01,2023,NA,A,6,D,3,2700,D,6,D,1,D,NA,A,1,2,D,2,D,NA,A,30981.69,30268.611,NA,NA,NA,NA,NA,27760.549,NA,NA,NA,27835.455,30202.428,NA,29041.923,NA,33963.238,30451.749,NA,NA,29132.481,NA,NA,31077.531,NA,30098.228,NA,NA
05012114,1,D,61,D,60,D,1,D,1,D,0,D,1,D,0,D,3,D,5,D,1,01,D,1,D,2,D,13,D,12,D,3,D,5,D,0,D,180000,D,0,D,23544.109,29340,T,0,D,0,D,0,D,125000,D,0,D,2,D,35,D,60,D,0.8866778,D,NA,A,NA,A,5,D,5,D,50,D,52,D,NA,A,NA,A,1,D,2,D,0,D,0,D,06,D,01,D,NA,A,1,D,0,D,2,01,D,01,2023,1,D,1,D,1,3200,D,11,D,2,D,1,D,1,2,D,3,D,NA,A,NA,44961.42,46709.816,NA,43942.56,50031.543,NA,48048.486,NA,51601.959,53266.021,NA,NA,NA,46929.743,NA,NA,NA,NA,NA,50011.16,45845.41,42532.42,NA,46974.376,NA,NA,NA
05012184,1,D,61,D,64,D,1,D,1,D,0,D,0,D,0,D,1,D,2,D,2,01,D,2,D,2,D,16,D,15,D,2,D,1,D,0,D,0,D,0,D,11896.87,0,D,0,D,0,D,0,D,0,D,0,D,0,D,45,D,40,D,0.0393988,A,NA,A,NA,A,1,D,1,D,48,D,52,D,NA,A,NA,A,1,D,2,D,0,D,0,D,10,D,12,D,NA,A,0,D,0,D,5,01,D,01,2023,1,D,1,D,4,3000,D,4,D,1,D,2,D,2,2,D,3,D,NA,A,20378.144,16528.221,NA,NA,19924.213,NA,17948.327,NA,NA,21862.872,18766.804,19829.848,NA,18908.126,19438.552,20556.008,20243.134,18360.644,NA,NA,NA,17569.023,NA,18715.651,19407.104,17030.164,NA,NA
05012194,1,D,63,D,59,D,3,D,2,D,0,D,0,D,0,D,1,D,4,D,1,01,D,2,D,4,D,10,D,11,D,5,D,4,D,0,D,117502,D,0,D,34892.534,11399,D,0,D,0,D,0,D,79002,D,0,D,1,D,20,D,NA,A,0.7564954,D,NA,A,2,D,5,D,NA,A,15,D,0,D,NA,A,NA,A,1,D,3,D,0,D,0,D,10,D,NA,A,NA,A,0,D,0,D,2,03,D,01,2023,1,D,1,D,2,1000,D,7,D,1,D,2,D,1,2,D,3,D,NA,A,NA,73802.591,NA,NA,63413.372,NA,72035.341,NA,NA,60018.54,74266.887,NA,61404.054,72104.095,NA,54791.413,NA,48280.92,73367.857,NA,NA,NA,37924.865,NA,NA,NA,NA,NA
